Model,Epoch,Dataset,Is_Single_Class,Calibrated_Threshold,Optimized_Threshold,Threshold_Diff,Calibrated_F1,Optimized_F1,F1_Improvement,Calibrated_Brier,Optimized_Brier,Brier_Improvement
Resnet_34,50,UrbanSound,Yes,0.00004500,0.96432356,+0.96427856,nan,nan,+nan,0.0119,0.0119,+0.0000
Resnet_34,50,Wonjun_Yi,Yes,0.00004500,0.00004500,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,5,CalibrationDataset,No,0.49650000,0.49650000,+0.00000000,0.1359,0.1359,+0.0000,0.9271,0.9271,+0.0000
Resnet_34,5,DronePrint,Yes,0.49650000,0.49650000,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,5,Emo,Yes,0.49650000,0.49650000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,5,ESC-50,Yes,0.49650000,0.49650000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Resnet_34,5,Fusion,No,0.49650000,0.97700664,+0.48050664,0.0653,0.0653,+0.0000,0.9643,0.9643,+0.0000
Resnet_34,5,H-2,Yes,0.49650000,0.49650000,+0.00000000,nan,nan,+nan,0.0000,0.0000,+0.0000
Resnet_34,5,S&E,No,0.49650000,0.49650000,+0.00000000,0.5067,0.5067,+0.0000,0.6607,0.6607,+0.0000
Resnet_34,5,Authors,No,0.49650000,0.49650000,+0.00000000,0.9412,0.9412,+0.0000,0.1111,0.1111,+0.0000
Resnet_34,5,UrbanSound,Yes,0.49650000,0.97700664,+0.48050664,nan,nan,+nan,0.9777,0.9777,+0.0000
Resnet_34,5,Wonjun_Yi,Yes,0.49650000,0.49650000,+0.00000000,nan,nan,+nan,1.0000,1.0000,+0.0000
Wav2Vec2_AllAugments,1,CalibrationDataset,No,0.21487400,0.22794329,+0.01306929,0.1985,0.1987,+0.0002,0.3188,0.3188,+0.0000
Wav2Vec2_AllAugments,1,DronePrint,Yes,0.21487400,0.27578460,+0.06091060,nan,nan,+nan,0.4406,0.4406,+0.0000
Wav2Vec2_AllAugments,1,Emo,Yes,0.21487400,0.33968282,+0.12480882,nan,nan,+nan,0.0501,0.0501,+0.0000
Wav2Vec2_AllAugments,1,ESC-50,Yes,0.21487400,0.51838980,+0.30351580,nan,nan,+nan,0.0358,0.0358,+0.0000
Wav2Vec2_AllAugments,1,Fusion,No,0.21487400,0.17238262,-0.04249138,0.0587,0.0670,+0.0083,0.7328,0.7328,+0.0000
Wav2Vec2_AllAugments,1,H-2,Yes,0.21487400,0.14292790,-0.07194610,nan,nan,+nan,0.5477,0.5477,+0.0000
Wav2Vec2_AllAugments,1,Authors,No,0.21487400,0.23005846,+0.01518446,0.8444,0.8636,+0.0192,0.4252,0.4252,+0.0000
Wav2Vec2_AllAugments,1,S&E,No,0.21487400,0.24171463,+0.02684063,0.3492,0.4082,+0.0590,0.2370,0.2370,+0.0000
Wav2Vec2_AllAugments,1,UrbanSound,Yes,0.21487400,0.39619836,+0.18132436,nan,nan,+nan,0.0378,0.0378,+0.0000
Wav2Vec2_AllAugments,1,Wonjun_Yi,Yes,0.21487400,0.07858462,-0.13628938,nan,nan,+nan,0.8318,0.8318,+0.0000
Wav2Vec2_AllAugments,10,CalibrationDataset,No,0.00215925,0.03002066,+0.02786141,0.5528,0.0065,-0.5463,0.3775,0.3775,+0.0000
Wav2Vec2_AllAugments,10,DronePrint,Yes,0.00215925,0.00215925,+0.00000000,nan,nan,+nan,0.9874,0.9874,+0.0000
Wav2Vec2_AllAugments,10,Emo,Yes,0.00215925,0.04204197,+0.03988271,nan,nan,+nan,0.0001,0.0001,+0.0000
Wav2Vec2_AllAugments,10,ESC-50,Yes,0.00215925,0.04659219,+0.04443293,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_AllAugments,10,Fusion,No,0.00215925,0.26661366,+0.26445441,0.9394,0.0000,-0.9394,0.8821,0.8821,+0.0000
Wav2Vec2_AllAugments,10,H-2,Yes,0.00215925,0.02085687,+0.01869762,nan,nan,+nan,0.9889,0.9889,+0.0000
Wav2Vec2_AllAugments,10,Authors,No,0.00215925,0.00215925,+0.00000000,0.8750,0.8750,+0.0000,0.7671,0.7671,+0.0000
Wav2Vec2_AllAugments,10,S&E,No,0.00215925,0.00215925,+0.00000000,0.5067,0.5067,+0.0000,0.3353,0.3353,+0.0000
Wav2Vec2_AllAugments,10,UrbanSound,Yes,0.00215925,0.91044986,+0.90829061,nan,nan,+nan,0.0003,0.0003,+0.0000
Wav2Vec2_AllAugments,10,Wonjun_Yi,Yes,0.00215925,0.02654089,+0.02438164,nan,nan,+nan,0.9942,0.9942,+0.0000
Wav2Vec2_AllAugments,15,CalibrationDataset,No,0.97999400,0.02284647,-0.95714753,0.0000,0.0129,+0.0129,0.3782,0.3782,+0.0000
Wav2Vec2_AllAugments,15,DronePrint,Yes,0.97999400,0.97999400,+0.00000000,nan,nan,+nan,0.9928,0.9928,+0.0000
Wav2Vec2_AllAugments,15,Emo,Yes,0.97999400,0.02869865,-0.95129535,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_AllAugments,15,ESC-50,Yes,0.97999400,0.03329662,-0.94669739,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_AllAugments,15,Fusion,No,0.97999400,0.13977810,-0.84021590,0.0000,0.0004,+0.0004,0.8839,0.8839,+0.0000
Wav2Vec2_AllAugments,15,H-2,Yes,0.97999400,0.97999400,+0.00000000,nan,nan,+nan,0.9931,0.9931,+0.0000
Wav2Vec2_AllAugments,15,Authors,No,0.97999400,0.97999400,+0.00000000,0.0000,0.0000,+0.0000,0.7710,0.7710,+0.0000
Wav2Vec2_AllAugments,15,S&E,No,0.97999400,0.97999400,+0.00000000,0.0000,0.0000,+0.0000,0.3369,0.3369,+0.0000
Wav2Vec2_AllAugments,15,UrbanSound,Yes,0.97999400,0.97999400,+0.00000000,nan,nan,+nan,0.0004,0.0004,+0.0000
Wav2Vec2_AllAugments,15,Wonjun_Yi,Yes,0.97999400,0.13081026,-0.84918374,nan,nan,+nan,0.9961,0.9961,+0.0000
Wav2Vec2_AllAugments,20,CalibrationDataset,No,0.00103385,0.02268443,+0.02165058,0.5515,0.0097,-0.5418,0.3790,0.3790,+0.0000
Wav2Vec2_AllAugments,20,DronePrint,Yes,0.00103385,0.00103385,+0.00000000,nan,nan,+nan,0.9946,0.9946,+0.0000
Wav2Vec2_AllAugments,20,Emo,Yes,0.00103385,0.02185470,+0.02082085,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_AllAugments,20,ESC-50,Yes,0.00103385,0.02830805,+0.02727420,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_AllAugments,20,Fusion,No,0.00103385,0.11647444,+0.11544059,0.9404,0.0003,-0.9401,0.8846,0.8846,+0.0000
Wav2Vec2_AllAugments,20,H-2,Yes,0.00103385,0.00103385,+0.00000000,nan,nan,+nan,0.9945,0.9945,+0.0000
Wav2Vec2_AllAugments,20,Authors,No,0.00103385,0.00103385,+0.00000000,0.8750,0.8750,+0.0000,0.7724,0.7724,+0.0000
Wav2Vec2_AllAugments,20,S&E,No,0.00103385,0.00103385,+0.00000000,0.5067,0.5067,+0.0000,0.3374,0.3374,+0.0000
Wav2Vec2_AllAugments,20,UrbanSound,Yes,0.00103385,0.97945833,+0.97842448,nan,nan,+nan,0.0003,0.0003,+0.0000
Wav2Vec2_AllAugments,20,Wonjun_Yi,Yes,0.00103385,0.03680178,+0.03576794,nan,nan,+nan,0.9969,0.9969,+0.0000
Wav2Vec2_AllAugments,5,CalibrationDataset,No,0.00661154,0.06028882,+0.05367728,0.5544,0.0065,-0.5480,0.3720,0.3720,+0.0000
Wav2Vec2_AllAugments,5,DronePrint,Yes,0.00661154,0.02044430,+0.01383276,nan,nan,+nan,0.9472,0.9472,+0.0000
Wav2Vec2_AllAugments,5,Emo,Yes,0.00661154,0.10422652,+0.09761498,nan,nan,+nan,0.0006,0.0006,+0.0000
Wav2Vec2_AllAugments,5,ESC-50,Yes,0.00661154,0.12202285,+0.11541131,nan,nan,+nan,0.0003,0.0003,+0.0000
Wav2Vec2_AllAugments,5,Fusion,No,0.00661154,0.15795968,+0.15134814,0.8963,0.0000,-0.8963,0.8735,0.8735,+0.0000
Wav2Vec2_AllAugments,5,H-2,Yes,0.00661154,0.02000103,+0.01338949,nan,nan,+nan,0.9616,0.9616,+0.0000
Wav2Vec2_AllAugments,5,Authors,No,0.00661154,0.02016359,+0.01355205,0.8750,0.6857,-0.1893,0.7419,0.7419,+0.0000
Wav2Vec2_AllAugments,5,S&E,No,0.00661154,0.02418931,+0.01757777,0.5067,0.3158,-0.1909,0.3261,0.3261,+0.0000
Wav2Vec2_AllAugments,5,UrbanSound,Yes,0.00661154,0.54949120,+0.54287966,nan,nan,+nan,0.0005,0.0005,+0.0000
Wav2Vec2_AllAugments,5,Wonjun_Yi,Yes,0.00661154,0.02008649,+0.01347496,nan,nan,+nan,0.9851,0.9851,+0.0000
Wav2Vec2_BandPassSurefire,1,CalibrationDataset,No,0.28066015,0.28076750,+0.00010735,0.8245,0.8245,+0.0000,0.2271,0.2271,+0.0000
Wav2Vec2_BandPassSurefire,1,DronePrint,Yes,0.28066015,0.29424325,+0.01358310,nan,nan,+nan,0.4603,0.4603,+0.0000
Wav2Vec2_BandPassSurefire,1,Emo,Yes,0.28066015,0.31922513,+0.03856498,nan,nan,+nan,0.0624,0.0624,+0.0000
Wav2Vec2_BandPassSurefire,1,ESC-50,Yes,0.28066015,0.39989147,+0.11923132,nan,nan,+nan,0.0496,0.0496,+0.0000
Wav2Vec2_BandPassSurefire,1,Fusion,No,0.28066015,0.23980679,-0.04085336,0.5920,0.9672,+0.3752,0.4702,0.4702,+0.0000
Wav2Vec2_BandPassSurefire,1,H-2,Yes,0.28066015,0.17709085,-0.10356930,nan,nan,+nan,0.5569,0.5569,+0.0000
Wav2Vec2_BandPassSurefire,1,Authors,No,0.28066015,0.24442865,-0.03623150,0.4667,0.8182,+0.3515,0.4273,0.4273,+0.0000
Wav2Vec2_BandPassSurefire,1,S&E,No,0.28066015,0.24613443,-0.03452572,0.4375,0.6230,+0.1855,0.2217,0.2217,+0.0000
Wav2Vec2_BandPassSurefire,1,UrbanSound,Yes,0.28066015,0.39223984,+0.11157969,nan,nan,+nan,0.0583,0.0583,+0.0000
Wav2Vec2_BandPassSurefire,1,Wonjun_Yi,Yes,0.28066015,0.22152682,-0.05913333,nan,nan,+nan,0.5213,0.5213,+0.0000
Wav2Vec2_BandPassSurefire,10,CalibrationDataset,No,0.02587248,0.02587248,+0.00000000,0.8487,0.8487,+0.0000,0.3407,0.3407,+0.0000
Wav2Vec2_BandPassSurefire,10,DronePrint,Yes,0.02587248,0.07297452,+0.04710205,nan,nan,+nan,0.8093,0.8093,+0.0000
Wav2Vec2_BandPassSurefire,10,Emo,Yes,0.02587248,0.11764508,+0.09177260,nan,nan,+nan,0.0007,0.0007,+0.0000
Wav2Vec2_BandPassSurefire,10,ESC-50,Yes,0.02587248,0.22278297,+0.19691049,nan,nan,+nan,0.0003,0.0003,+0.0000
Wav2Vec2_BandPassSurefire,10,Fusion,No,0.02587248,0.02000281,-0.00586967,0.7309,0.8176,+0.0867,0.8329,0.8329,+0.0000
Wav2Vec2_BandPassSurefire,10,H-2,Yes,0.02587248,0.02003396,-0.00583852,nan,nan,+nan,0.9524,0.9524,+0.0000
Wav2Vec2_BandPassSurefire,10,Authors,No,0.02587248,0.02587248,+0.00000000,0.6452,0.6452,+0.0000,0.7338,0.7338,+0.0000
Wav2Vec2_BandPassSurefire,10,S&E,No,0.02587248,0.02803528,+0.00216280,0.5000,0.5294,+0.0294,0.3184,0.3184,+0.0000
Wav2Vec2_BandPassSurefire,10,UrbanSound,Yes,0.02587248,0.26633910,+0.24046662,nan,nan,+nan,0.0007,0.0007,+0.0000
Wav2Vec2_BandPassSurefire,10,Wonjun_Yi,Yes,0.02587248,0.02000431,-0.00586817,nan,nan,+nan,0.9379,0.9379,+0.0000
Wav2Vec2_BandPassSurefire,15,CalibrationDataset,No,0.00466282,0.02210855,+0.01744573,0.8280,0.0000,-0.8280,0.3734,0.3734,+0.0000
Wav2Vec2_BandPassSurefire,15,DronePrint,Yes,0.00466282,0.02149199,+0.01682918,nan,nan,+nan,0.9690,0.9690,+0.0000
Wav2Vec2_BandPassSurefire,15,Emo,Yes,0.00466282,0.02000050,+0.01533768,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_BandPassSurefire,15,ESC-50,Yes,0.00466282,0.02765168,+0.02298886,nan,nan,+nan,0.0000,0.0000,+0.0000
Wav2Vec2_BandPassSurefire,15,Fusion,No,0.00466282,0.02032420,+0.01566138,0.6699,0.0019,-0.6680,0.8776,0.8776,+0.0000
