Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
9,Wav2Vec2_BandPassSurefire,5,DronePrint,No,Yes,0.1576,N/A,0.9167,N/A,N/A,0.41288492,11,0,0,1,12
9,Wav2Vec2_BandPassSurefire,5,Emo,No,Yes,0.0429,N/A,0.9973,N/A,N/A,0.74277170,0,369,1,0,370
9,Wav2Vec2_BandPassSurefire,5,ESC-50,No,Yes,0.0207,N/A,0.9952,N/A,N/A,0.80132955,0,1666,8,0,1674
9,Wav2Vec2_BandPassSurefire,5,Fusion,Yes,No,0.4281,0.9583,0.9247,0.9422,0.9750,0.06810170,80025,5503,4908,2054,92490
9,Wav2Vec2_BandPassSurefire,5,H-2,No,Yes,0.6735,N/A,0.9530,N/A,N/A,0.02020855,2917,0,0,144,3061
9,Wav2Vec2_BandPassSurefire,5,Authors,No,No,0.4685,0.8936,0.8148,0.8077,1.0000,0.05531185,21,1,5,0,27
9,Wav2Vec2_BandPassSurefire,5,S&E,No,No,0.2317,0.6909,0.6964,0.5278,1.0000,0.07910314,19,20,17,0,56
9,Wav2Vec2_BandPassSurefire,5,UrbanSound,No,Yes,0.0391,N/A,0.9990,N/A,N/A,0.87759360,0,8316,8,0,8324
9,Wav2Vec2_BandPassSurefire,5,Wonjun_Yi,No,Yes,0.4702,N/A,0.9998,N/A,N/A,0.02041239,78948,0,0,18,78966
10,Wav2Vec2_GaussianAndBandPass,5,CalibrationDataset,Yes,No,0.2283,0.7909,0.8294,0.7415,0.8474,0.31621444,522,820,182,94,1618
10,Wav2Vec2_GaussianAndBandPass,5,DronePrint,No,Yes,0.2644,N/A,0.6667,N/A,N/A,0.42273960,8,0,0,4,12
10,Wav2Vec2_GaussianAndBandPass,5,Emo,No,Yes,0.0997,N/A,0.9973,N/A,N/A,0.55686630,0,369,1,0,370
10,Wav2Vec2_GaussianAndBandPass,5,ESC-50,No,Yes,0.0721,N/A,0.9982,N/A,N/A,0.67724340,0,1671,3,0,1674
10,Wav2Vec2_GaussianAndBandPass,5,Fusion,Yes,No,0.4295,0.9472,0.9018,0.9065,0.9916,0.25915320,81392,2016,8395,687,92490
10,Wav2Vec2_GaussianAndBandPass,5,H-2,No,Yes,0.4834,N/A,1.0000,N/A,N/A,0.11058410,3061,0,0,0,3061
10,Wav2Vec2_GaussianAndBandPass,5,Authors,No,No,0.3751,0.8889,0.8148,0.8333,0.9524,0.27644494,20,2,4,1,27
